nr,Identification,Title,LSC category,Input data required,Output produced,DataIventory nr.,Abstract,Keywords,Authors,Year,Operative System,Documentation location,License,Contact - Name,Contact - Organization,Contact - Role,Contact - Email,Language,Citation,@dropdown
2,https://selector.kalro.org,KALRO Selector,Crop,Current location or county-subcounty-ward,"Location specific suitable crop varieties, pasture varieties & livestock breeds","Soil pH, Soil texture, precipitation, temperature, altitude",The Selector is a Big Data service developed by Kenya Agricultural and Livestock Research Organisation with the aim of providing advice to farmers on what is the best to grow or keep on their land.,"Big Data, Variety, Breed",,2020,Android | Linux,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,english,,
3,https://suitability.kalro.org,KALRO Suitability,Crop,Crop variety,Dynamic suitability maps,"Soil pH, Soil texture, precipitation, temperature, altitude","The Selector is a Big Data service developed by Kenya Agricultural and Livestock Research Organisation with the aim of providing digital suitability maps for crops, pasture and livestock.","Big Data, Variety, Breed",,2020,Linux,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,english,,
4,http://www.kaop.co.ke/,Kenya Agricultural Observatory Platform,Land,County-subcounty-ward,"Agronomic advisories, weather forecast",Weather data,KAOP (Kenya Agricultural Advisory Platform) is an integrated online platform that uses geo-data from satellites to generate real-time and location specific agro- advisories to farmers and other stakeholders.,"Agronomic, realtime",,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,english,,
5,https://laikipiagaps.kalro.org/,Laikipia GAPs,Crop,,Good Agricultural Practices,Agronomic data,Laikipia GAPS is both a web and mobile application that gives advice to farmers and extension officers on Good Agricultural Practices,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,english,,
6,https://play.google.com/store/apps/details?id=com.vaccinedelivery,KALRO Vaccine Expat,,,,,KALRO has given poultry farmers a reason to smile as they have developed a mobile application that authenticates genuine chicken vaccines from manufacturers.,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
7,https://play.google.com/store/apps/details?id=com.kalrofallarmyworm,KALRO Fall Armyworm,Crop,,,,Fall Armyworm (FAW) [Spodoptera frugiperda] is an insect pest with moths as the adult stage and larvae (caterpillars) as the destructive stage.,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
8,https://play.google.com/store/apps/details?id=com.newandromo.dev17005.app622445,KALRO GAPs App,Crop,,,,"Good Agricultural Practices (GAP) for android phones is intended for growers/producers, producer organizations, agricultural experts and extension service providers both public and private, agricultural cooperatives, researchers, academia, universities.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
9,https://play.google.com/store/apps/details?id=com.digitaldairy,Digital Dairy,,,,,Digital Dairy is a farm management mobile app that relies on the farmers input so as to generate an advisory. Our goal is to provide timely advisory and training to dairy farmers on improved forages and pastures using Big Data Analytics.,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
10,https://play.google.com/store/apps/details?id=com.andromo.dev724321.app881652,Mahindi Bora for Highland Regions,Crop,,,,"Geographically, Kenya is a diverse country with many agro-ecological zones (AEZs). Maize (Zea mays L.) provides basic diet to millions of people in Kenya. Total land area under maize production is about 1.5 million hectares, with an annual average production estimated at 3.0 million metric tons.",,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
11,https://play.google.com/store/apps/details?id=com.andromo.dev587809.app805047,Production of Pomegranate,Crop,,,,Pomogranate is in the Punicaceae family and originated in South East Asia. Its production in Kenya remains obscure since it is not documented. It favours semi-arid climate and is extremely drought tolerant. It is eaten fresh and processed into juice.,,,,,,,Salim Kinyimu,KALRO,Ag. Director ICT,Salim.Kinyimu@kalro.org,,,
